EicCode,EicDisplayName,EicLongName,EicParent,EicResponsibleParty,EicStatus,MarketParticipantPostalCode,MarketParticipantIsoCountryCode,MarketParticipantVatCode,EicTypeFunctionList,type
11W0-0000-0120-A,KUEHTAI-KW-PU,Kuehtai-PU_TIWAG,,11XTIWAG-HANDEL5,Active,,,,Generation,W
11W0-0000-0121-7,KUEHTAI-M1-PU,Kuehtai-M1-PU TIWAG,,11XTIWAG-HANDEL5,Active,,,,Generation,W
11W0-0000-0122-4,KUEHTAI-M2-PU,Kuehtai-M2-PU TIWAG,,11XTIWAG-HANDEL5,Active,,,,Generation,W
11W0-0000-0123-1,AW_SP_ACHEN,AW_Speicher Achensee,,11XTIWAG-HANDEL5,Active,,,,Generation,W
11W0-0000-0124-Z,SI_SP_LAENG,SI_Speicher Längental,,11XTIWAG-HANDEL5,Active,,,,Generation,W
11W0-0000-0125-W,KU_SP_FINST,KU_Speicher Finstertal,,11XTIWAG-HANDEL5,Active,,,,Generation,W
11W0-0000-0126-T,KTW_SP_GEPAT,KtW_Speicher Gepatsch,,11XTIWAG-HANDEL5,Active,,,,Generation,W
11W0-0000-0131-3,DDA_STADE_TENNET,Dow Deutschland Anlagengesellschaft Werk Stade Übergabepunkt Tennet,,,Active,,,,Load,W
11W0-0000-0132-0,SPE_KOEPCHENWERK,Speicher Köpchenwerk,,11XRWETRADING--0,Active,,,,Storage Plant,W
11W0-0000-0133-Y,SPE_KAUNERTAL,Wasserspeicher Kaunertal,,11XRWETRADING--0,Active,,,,Storage Plant,W
11W0-0000-0134-V,SPE_HAEUSERN,Häusern Pumpspeicher,,11XRWETRADING--0,Active,,,,Storage Plant,W
11W0-0000-0135-S,SPE_WALDSHUT,Waldshut Pumpspeicher,,11XRWETRADING--0,Active,,,,Storage Plant,W
11W0-0000-0136-P,SPE_WITZNAU,Witznau Pumpspeicher,,11XRWETRADING--0,Active,,,,Storage Plant,W
11W0-0000-0137-M,SPE_SAECKINGEN,Säckingen Pumpspeicher,,11XRWETRADING--0,Active,,,,Storage Plant,W
11W0-0000-0138-J,SPE_WEHR,Wehr Pumpspeicher,,11XRWETRADING--0,Active,,,,Storage Plant,W
11W0-0000-0139-G,SPE_VIANDEN,Pumpspeicher Vianden,,11XRWETRADING--0,Active,,,,Storage Plant,W
11W0-0000-0140-2,HYDRO-SCHWAMM-P,HYDRO-SCHWAMMENAUEL-PLANT,,11X0-0000-0563-P,Active,,,,Generation,W
11W0-0000-0142-X,HYDRO-SCHWAMM-G,HYDRO-SCHWAMMENAUEL-GENERATOR,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0143-U,HYDRO-RADAG-WKWP,HYDRO-RADAG-WEHRKRAFTWERK-PLANT,,11X0-0000-0563-P,Active,,,,Generation,W
11W0-0000-0144-R,HYDRO-RADAG-WKWG,HYDRO-RADAG-WEHRKRAFTWERK-GENERATOR,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0145-O,HYDRO-RADAG-MH-P,HYDRO-RADAG-MASCHINENHAUS-PLANT,,11X0-0000-0563-P,Active,,,,Generation,W
11W0-0000-0146-L,HYDRO-RADAG-MHG1,HYDRO-RADAG-MASCHINENHAUS-GENERATOR-1,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0147-I,HYDRO-RADAG-MHG2,HYDRO-RADAG-MASCHINENHAUS-GENERATOR-2,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0148-F,HYDRO-RADAG-MHG3,HYDRO-RADAG-MASCHINENHAUS-GENERATOR-3,,11X0-0000-0563-P,Active,,,,Generation Unit,W
11W0-0000-0149-C,D4_GKM_BL6,GKM_Block_6,,11XGKM-P-------6,Active,,,,Generation Unit,W
11W0-0000-0150-Z,D4_GKM_BL7,GKM_Block_7,,11XGKM-P-------6,Active,,,,Generation Unit,W
11W0-0000-0151-W,D4_GKM_BL8,GKM_Block_8,,11XGKM-P-------6,Active,,,,Generation Unit,W
11W0-0000-0152-T,AWE,AWE-Arkona-Windpark Entwicklungs-GmbH,,,Active,,,,Generation,W
11W0-0000-0153-Q,D4_STG_GAI_HKW3,Gaisburg_HKW3,,11XENBW-H------P,Active,,,,Production Unit,W
11W0-0000-0154-N,STG_GAI_HKW3_M1,Gaisburg_HKW3_M1,,11XENBW-H------P,Active,,,,Generation,W
11W0-0000-0155-K,STG_GAI_HKW3_M2,Gaisburg_HKW3_M2,,11XENBW-H------P,Active,,,,Generation,W
11W0-0000-0156-H,STG_GAI_HKW3_M3,Gaisburg_HKW3_M3,,11XENBW-H------P,Active,,,,Generation,W
11W0-0000-0159-8,COV-BC-LEV,Covestro Basic Chemicals Leverkusen,,,Active,,,,Load,W
11W0-0000-0160-V,COV-BC-DOR,Covestro Basic Chemicals Dormagen,,,Active,,,,Load,W
11W0-0000-0161-S,COV-BC-UER,Covestro Basic Chemicals Uerdingen,,,Active,,,,Load,W
11W0-0000-0162-P,GHKW,Küstenkraftwerk K.I.E.L,,11X24SIEBEN----Q,Active,,,,Production Plant,W
11W0-0000-0163-M,GHKWKIEL,Küstenkraftwerk K.I.E.L,,11X24SIEBEN----Q,Active,,,,Production Unit,W
